country_val_str,country,facet_id,var,year,value
Romania (+47%),Romania,% of EU8-2004,% of EU8,2004,14.740019097258555
Romania (+47%),Romania,% of EU8-2004,% of EU8,2005,14.671268521165873
Romania (+47%),Romania,% of EU8-2004,% of EU8,2006,14.411849009518933
Romania (+47%),Romania,% of EU8-2004,% of EU8,2007,16.081624985759237
Romania (+47%),Romania,% of EU8-2004,% of EU8,2008,19.458058958425312
Romania (+47%),Romania,% of EU8-2004,% of EU8,2009,21.212092003193924
Romania (+47%),Romania,% of EU8-2004,% of EU8,2010,20.125610734011588
Romania (+47%),Romania,% of EU8-2004,% of EU8,2011,21.339197522346417
Romania (+47%),Romania,% of EU8-2004,% of EU8,2012,21.422723799778815
Romania (+47%),Romania,% of EU8-2004,% of EU8,2013,22.927295553270962
Romania (+47%),Romania,% of EU8-2004,% of EU8,2014,25.548467226302456
Romania (+47%),Romania,% of EU8-2004,% of EU8,2015,29.2659976808448
Romania (+47%),Romania,% of EU8-2004,% of EU8,2016,33.863963019267345
Romania (+47%),Romania,% of EU8-2004,% of EU8,2017,40.576097602073034
Romania (+47%),Romania,% of EU8-2004,% of EU8,2018,52.245549920071866
Romania (+47%),Romania,% of EU8-2004,% of EU8,2019,54.3893852459852
Romania (+47%),Romania,% of EU8-2004,% of EU8,2020,57.09228632543819
Romania (+47%),Romania,% of EU8-2004,% of EU8,2021,56.615861246402986
Romania (+47%),Romania,% of EU8-2004,% of EU8,2022,56.565035709131635
Romania (+47%),Romania,% of EU8-2004,% of EU8,2023,56.8045687499761
Romania (+47%),Romania,% of EU8-2004,% of EU8,2024,62.20492973749709
Poland (+43%),Poland,% of EU8-2004,% of EU8,2004,33.84107478036175
Poland (+43%),Poland,% of EU8-2004,% of EU8,2005,33.45517451568887
Poland (+43%),Poland,% of EU8-2004,% of EU8,2006,34.40883245616031
Poland (+43%),Poland,% of EU8-2004,% of EU8,2007,34.63141508784704
Poland (+43%),Poland,% of EU8-2004,% of EU8,2008,39.9379949230676
Poland (+43%),Poland,% of EU8-2004,% of EU8,2009,42.65802824945625
Poland (+43%),Poland,% of EU8-2004,% of EU8,2010,43.19946932797797
Poland (+43%),Poland,% of EU8-2004,% of EU8,2011,43.82444512071972
Poland (+43%),Poland,% of EU8-2004,% of EU8,2012,45.49564611196564
Poland (+43%),Poland,% of EU8-2004,% of EU8,2013,47.93093355701836
Poland (+43%),Poland,% of EU8-2004,% of EU8,2014,50.09341488634656
Poland (+43%),Poland,% of EU8-2004,% of EU8,2015,51.82595781212639
Poland (+43%),Poland,% of EU8-2004,% of EU8,2016,55.13164611270151
Poland (+43%),Poland,% of EU8-2004,% of EU8,2017,57.56252397207947
Poland (+43%),Poland,% of EU8-2004,% of EU8,2018,60.01584866058508
Poland (+43%),Poland,% of EU8-2004,% of EU8,2019,62.15500357556824
Poland (+43%),Poland,% of EU8-2004,% of EU8,2020,69.61111470875116
Poland (+43%),Poland,% of EU8-2004,% of EU8,2021,71.42407550771804
Poland (+43%),Poland,% of EU8-2004,% of EU8,2022,67.7351821868684
Poland (+43%),Poland,% of EU8-2004,% of EU8,2023,67.0077229530221
Poland (+43%),Poland,% of EU8-2004,% of EU8,2024,77.27627010731464
Lithuania (+39%),Lithuania,% of EU8-2004,% of EU8,2004,24.762193322964418
Lithuania (+39%),Lithuania,% of EU8-2004,% of EU8,2005,25.687837784124014
Lithuania (+39%),Lithuania,% of EU8-2004,% of EU8,2006,26.68037725503723
Lithuania (+39%),Lithuania,% of EU8-2004,% of EU8,2007,28.251592029756644
Lithuania (+39%),Lithuania,% of EU8-2004,% of EU8,2008,31.301264477320778
Lithuania (+39%),Lithuania,% of EU8-2004,% of EU8,2009,29.31710493958178
Lithuania (+39%),Lithuania,% of EU8-2004,% of EU8,2010,29.123087690555785
Lithuania (+39%),Lithuania,% of EU8-2004,% of EU8,2011,28.103011290941566
Lithuania (+39%),Lithuania,% of EU8-2004,% of EU8,2012,27.785640602261385
Lithuania (+39%),Lithuania,% of EU8-2004,% of EU8,2013,33.41521658660292
Lithuania (+39%),Lithuania,% of EU8-2004,% of EU8,2014,33.541045215125806
Lithuania (+39%),Lithuania,% of EU8-2004,% of EU8,2015,35.629193483043125
Lithuania (+39%),Lithuania,% of EU8-2004,% of EU8,2016,41.224675009763
Lithuania (+39%),Lithuania,% of EU8-2004,% of EU8,2017,40.79222951193774
Lithuania (+39%),Lithuania,% of EU8-2004,% of EU8,2018,42.269985623064066
Lithuania (+39%),Lithuania,% of EU8-2004,% of EU8,2019,56.63138690407063
Lithuania (+39%),Lithuania,% of EU8-2004,% of EU8,2020,61.31942689491363
Lithuania (+39%),Lithuania,% of EU8-2004,% of EU8,2021,62.010312222762686
Lithuania (+39%),Lithuania,% of EU8-2004,% of EU8,2022,59.46183410888843
Lithuania (+39%),Lithuania,% of EU8-2004,% of EU8,2023,58.742088176212604
Lithuania (+39%),Lithuania,% of EU8-2004,% of EU8,2024,63.73591043031948
Bulgaria (+31%),Bulgaria,% of EU8-2004,% of EU8,2004,14.021089380219411
Bulgaria (+31%),Bulgaria,% of EU8-2004,% of EU8,2005,16.205154884875036
Bulgaria (+31%),Bulgaria,% of EU8-2004,% of EU8,2006,15.83299330622849
Bulgaria (+31%),Bulgaria,% of EU8-2004,% of EU8,2007,16.39945830085157
Bulgaria (+31%),Bulgaria,% of EU8-2004,% of EU8,2008,17.879016053843177
Bulgaria (+31%),Bulgaria,% of EU8-2004,% of EU8,2009,18.621801105559346
Bulgaria (+31%),Bulgaria,% of EU8-2004,% of EU8,2010,18.189979722093025
Bulgaria (+31%),Bulgaria,% of EU8-2004,% of EU8,2011,18.414540770681132
Bulgaria (+31%),Bulgaria,% of EU8-2004,% of EU8,2012,20.247616554408264
Bulgaria (+31%),Bulgaria,% of EU8-2004,% of EU8,2013,22.01355881981263
Bulgaria (+31%),Bulgaria,% of EU8-2004,% of EU8,2014,24.434648942778587
Bulgaria (+31%),Bulgaria,% of EU8-2004,% of EU8,2015,26.461792089709196
Bulgaria (+31%),Bulgaria,% of EU8-2004,% of EU8,2016,30.427128364101417
Bulgaria (+31%),Bulgaria,% of EU8-2004,% of EU8,2017,32.46793402077873
Bulgaria (+31%),Bulgaria,% of EU8-2004,% of EU8,2018,35.458132917086445
Bulgaria (+31%),Bulgaria,% of EU8-2004,% of EU8,2019,37.55253390594785
Bulgaria (+31%),Bulgaria,% of EU8-2004,% of EU8,2020,40.48959689824609
Bulgaria (+31%),Bulgaria,% of EU8-2004,% of EU8,2021,41.98706042265586
Bulgaria (+31%),Bulgaria,% of EU8-2004,% of EU8,2022,40.96777978583438
Bulgaria (+31%),Bulgaria,% of EU8-2004,% of EU8,2023,38.82162165358196
Bulgaria (+31%),Bulgaria,% of EU8-2004,% of EU8,2024,44.96532266398779
Latvia (+27%),Latvia,% of EU8-2004,% of EU8,2004,21.289494682038697
Latvia (+27%),Latvia,% of EU8-2004,% of EU8,2005,19.55349801811921
Latvia (+27%),Latvia,% of EU8-2004,% of EU8,2006,20.313196397199533
Latvia (+27%),Latvia,% of EU8-2004,% of EU8,2007,24.366353119953796
Latvia (+27%),Latvia,% of EU8-2004,% of EU8,2008,28.11188270501341
Latvia (+27%),Latvia,% of EU8-2004,% of EU8,2009,29.884040252006553
Latvia (+27%),Latvia,% of EU8-2004,% of EU8,2010,30.407711596675725
Latvia (+27%),Latvia,% of EU8-2004,% of EU8,2011,32.527817306973716
Latvia (+27%),Latvia,% of EU8-2004,% of EU8,2012,31.59930363310611
Latvia (+27%),Latvia,% of EU8-2004,% of EU8,2013,31.528972095851046
Latvia (+27%),Latvia,% of EU8-2004,% of EU8,2014,35.16121130464505
Latvia (+27%),Latvia,% of EU8-2004,% of EU8,2015,38.87634554029502
Latvia (+27%),Latvia,% of EU8-2004,% of EU8,2016,39.88391260421413
Latvia (+27%),Latvia,% of EU8-2004,% of EU8,2017,39.23197104296265
Latvia (+27%),Latvia,% of EU8-2004,% of EU8,2018,43.77186373665625
Latvia (+27%),Latvia,% of EU8-2004,% of EU8,2019,42.06957363924603
Latvia (+27%),Latvia,% of EU8-2004,% of EU8,2020,42.05742133470266
