country,year,value,pop,year_end,value_end,era,start_val,end_val,diff_end_start,country_val_str,facet_id,var,start_year
Bulgaria,2006,100,7640243,2010,163.63636363636365,2006-2010,100,321.53110047846894,221.53110047846894,Bulgaria (+222%),rel_val-2006,rel_val,2006
Bulgaria,2010,163.63636363636365,7437542,2014,166.50717703349284,2010-2014,100,321.53110047846894,221.53110047846894,Bulgaria (+222%),rel_val-2006,rel_val,2006
Bulgaria,2014,166.50717703349284,7223406,2018,220.57416267942588,2014-2018,100,321.53110047846894,221.53110047846894,Bulgaria (+222%),rel_val-2006,rel_val,2006
Bulgaria,2018,220.57416267942588,7024687,2022,321.53110047846894,2018-2022,100,321.53110047846894,221.53110047846894,Bulgaria (+222%),rel_val-2006,rel_val,2006
Czechia,2006,100,10304542,2010,108.37606837606839,2006-2010,100,174.52991452991455,74.52991452991455,Czechia (+75%),rel_val-2006,rel_val,2006
Czechia,2010,108.37606837606839,10463981,2014,122.22222222222223,2010-2014,100,174.52991452991455,74.52991452991455,Czechia (+75%),rel_val-2006,rel_val,2006
Czechia,2014,122.22222222222223,10517176,2018,143.5897435897436,2014-2018,100,174.52991452991455,74.52991452991455,Czechia (+75%),rel_val-2006,rel_val,2006
Czechia,2018,143.5897435897436,10548878,2022,174.52991452991455,2018-2022,100,174.52991452991455,74.52991452991455,Czechia (+75%),rel_val-2006,rel_val,2006
Estonia,2006,100,1346833,2010,130.70175438596493,2006-2010,100,229.16666666666669,129.16666666666669,Estonia (+129%),rel_val-2006,rel_val,2006
Estonia,2010,130.70175438596493,1331406,2014,142.3245614035088,2010-2014,100,229.16666666666669,129.16666666666669,Estonia (+129%),rel_val-2006,rel_val,2006
Estonia,2014,142.3245614035088,1314402,2018,172.3684210526316,2014-2018,100,229.16666666666669,129.16666666666669,Estonia (+129%),rel_val-2006,rel_val,2006
Estonia,2018,172.3684210526316,1321918,2022,229.16666666666669,2018-2022,100,229.16666666666669,129.16666666666669,Estonia (+129%),rel_val-2006,rel_val,2006
Hungary,2006,100,10049900,2010,126.80180180180179,2006-2010,100,199.54954954954954,99.54954954954954,Hungary (+100%),rel_val-2006,rel_val,2006
Hungary,2010,126.80180180180179,9979076,2014,140.54054054054052,2010-2014,100,199.54954954954954,99.54954954954954,Hungary (+100%),rel_val-2006,rel_val,2006
Hungary,2014,140.54054054054052,9862785,2018,152.70270270270268,2014-2018,100,199.54954954954954,99.54954954954954,Hungary (+100%),rel_val-2006,rel_val,2006
Hungary,2018,152.70270270270268,9774342,2022,199.54954954954954,2018-2022,100,199.54954954954954,99.54954954954954,Hungary (+100%),rel_val-2006,rel_val,2006
Latvia,2006,100,2218989,2010,92.3529411764706,2006-2010,100,262.6470588235294,162.6470588235294,Latvia (+163%),rel_val-2006,rel_val,2006
Latvia,2010,92.3529411764706,2097787,2014,140.58823529411765,2010-2014,100,262.6470588235294,162.6470588235294,Latvia (+163%),rel_val-2006,rel_val,2006
Latvia,2014,140.58823529411765,1994096,2018,189.11764705882354,2014-2018,100,262.6470588235294,162.6470588235294,Latvia (+163%),rel_val-2006,rel_val,2006
Latvia,2018,189.11764705882354,1927526,2022,262.6470588235294,2018-2022,100,262.6470588235294,162.6470588235294,Latvia (+163%),rel_val-2006,rel_val,2006
Lithuania,2006,100,3269761,2010,114.8989898989899,2006-2010,100,295.95959595959596,195.95959595959596,Lithuania (+196%),rel_val-2006,rel_val,2006
