country,year,country_val_str,facet_id,var,diff_end_start,value
Litvánia,2006,Litvánia (+40%),EU8 átlag %-a,% of EU8,39.500163706633266,30.292382488378216
Litvánia,2010,Litvánia (+40%),EU8 átlag %-a,% of EU8,39.500163706633266,33.175825466108265
Litvánia,2014,Litvánia (+40%),EU8 átlag %-a,% of EU8,39.500163706633266,33.48215204240009
Litvánia,2018,Litvánia (+40%),EU8 átlag %-a,% of EU8,39.500163706633266,43.332984258256474
Litvánia,2022,Litvánia (+40%),EU8 átlag %-a,% of EU8,39.500163706633266,69.79254619501148
Románia,2006,Románia (+38%),EU8 átlag %-a,% of EU8,37.86723993850307,21.265864474164506
Románia,2010,Románia (+38%),EU8 átlag %-a,% of EU8,37.86723993850307,28.50933573021611
Románia,2014,Románia (+38%),EU8 átlag %-a,% of EU8,37.86723993850307,25.838751677165323
Románia,2018,Románia (+38%),EU8 átlag %-a,% of EU8,37.86723993850307,46.13727599761976
Románia,2022,Románia (+38%),EU8 átlag %-a,% of EU8,37.86723993850307,59.133104412667585
Szlovákia,2006,Szlovákia (+30%),EU8 átlag %-a,% of EU8,29.69816659629655,28.30348868863621
Szlovákia,2010,Szlovákia (+30%),EU8 átlag %-a,% of EU8,29.69816659629655,42.80046054638583
Szlovákia,2014,Szlovákia (+30%),EU8 átlag %-a,% of EU8,29.69816659629655,43.89882156670234
Szlovákia,2018,Szlovákia (+30%),EU8 átlag %-a,% of EU8,29.69816659629655,47.27234646355251
Szlovákia,2022,Szlovákia (+30%),EU8 átlag %-a,% of EU8,29.69816659629655,58.00165528493276
Észtország,2006,Észtország (+27%),EU8 átlag %-a,% of EU8,27.347564614555772,34.88213741085976
Észtország,2010,Észtország (+27%),EU8 átlag %-a,% of EU8,27.347564614555772,43.45668566549566
Észtország,2014,Észtország (+27%),EU8 átlag %-a,% of EU8,27.347564614555772,43.89882156670234
Észtország,2018,Észtország (+27%),EU8 átlag %-a,% of EU8,27.347564614555772,52.48031683665576
