country,year,rel_val-2006,rel_val-2010,var_name
Bulgaria,2006,100,NA,real_median_hourly
Bulgaria,2010,163.63636363636365,100,real_median_hourly
Bulgaria,2014,166.50717703349284,101.75438596491229,real_median_hourly
Bulgaria,2018,220.57416267942588,134.79532163742692,real_median_hourly
Czechia,2006,100,NA,real_median_hourly
Czechia,2010,108.37606837606839,100,real_median_hourly
Czechia,2014,122.22222222222223,112.77602523659306,real_median_hourly
Czechia,2018,143.5897435897436,132.49211356466878,real_median_hourly
Estonia,2006,100,NA,real_median_hourly
Estonia,2010,130.70175438596493,100,real_median_hourly
Estonia,2014,142.3245614035088,108.89261744966443,real_median_hourly
Estonia,2018,172.3684210526316,131.8791946308725,real_median_hourly
Hungary,2006,100,NA,real_median_hourly
Hungary,2010,126.80180180180179,100,real_median_hourly
Hungary,2014,140.54054054054052,110.8348134991119,real_median_hourly
Hungary,2018,152.70270270270268,120.42628774422735,real_median_hourly
Latvia,2006,100,NA,real_median_hourly
Latvia,2010,92.3529411764706,100,real_median_hourly
Latvia,2014,140.58823529411765,152.22929936305732,real_median_hourly
Latvia,2018,189.11764705882354,204.77707006369425,real_median_hourly
Lithuania,2006,100,NA,real_median_hourly
Lithuania,2010,114.8989898989899,100,real_median_hourly
Lithuania,2014,125,108.79120879120879,real_median_hourly
Lithuania,2018,163.88888888888889,142.63736263736266,real_median_hourly
Poland,2006,100,NA,real_median_hourly
Poland,2010,124.16974169741698,100,real_median_hourly
Poland,2014,141.8819188191882,114.26448736998513,real_median_hourly
Poland,2018,154.24354243542436,124.21991084695394,real_median_hourly
Romania,2006,100,NA,real_median_hourly
Romania,2010,140.6474820143885,100,real_median_hourly
Romania,2014,137.41007194244605,97.69820971867007,real_median_hourly
Romania,2018,248.56115107913672,176.72634271099744,real_median_hourly
Slovakia,2006,100,NA,real_median_hourly
Slovakia,2010,158.64864864864865,100,real_median_hourly
Slovakia,2014,175.4054054054054,110.56218057921635,real_median_hourly
Slovakia,2018,191.35135135135135,120.61328790459966,real_median_hourly
Slovenia,2006,100,NA,real_median_hourly
Slovenia,2010,116.62125340599455,100,real_median_hourly
Slovenia,2014,122.07084468664851,104.67289719626169,real_median_hourly
Slovenia,2018,125.61307901907358,107.71028037383178,real_median_hourly
Croatia,2010,NA,100,real_median_hourly
Croatia,2014,NA,107.39130434782608,real_median_hourly
Croatia,2018,NA,111.01449275362319,real_median_hourly
