date,measure,tax,scope,netto_koncepcio,value,period,incl_kozfoglalk,sorozat
2024-01-01,atlag,brutto,Költségvetés,NA,583300,monthly,TRUE,Bruttó teljes átlag
2024-01-01,atlag,brutto,Nem közfoglalkoztatottak,NA,615100,monthly,FALSE,Bruttó teljes átlag
2024-01-01,atlag,brutto,Nonprofit,NA,605100,monthly,TRUE,Bruttó teljes átlag
2024-01-01,atlag,brutto,Vállalkozás,NA,611400,monthly,TRUE,Bruttó teljes átlag
2024-01-01,rendsz,brutto,Költségvetés,NA,576200,monthly,TRUE,Bruttó rendszeres átlag
2024-01-01,rendsz,brutto,Nonprofit,NA,599400,monthly,TRUE,Bruttó rendszeres átlag
2024-01-01,rendsz,brutto,Vállalkozás,NA,576700,monthly,TRUE,Bruttó rendszeres átlag
2024-02-01,atlag,brutto,Költségvetés,NA,582100,monthly,TRUE,Bruttó teljes átlag
2024-02-01,atlag,brutto,Nem közfoglalkoztatottak,NA,615400,monthly,FALSE,Bruttó teljes átlag
2024-02-01,atlag,brutto,Nonprofit,NA,608000,monthly,TRUE,Bruttó teljes átlag
2024-02-01,atlag,brutto,Vállalkozás,NA,611800,monthly,TRUE,Bruttó teljes átlag
2024-02-01,rendsz,brutto,Költségvetés,NA,572900,monthly,TRUE,Bruttó rendszeres átlag
2024-02-01,rendsz,brutto,Nonprofit,NA,602600,monthly,TRUE,Bruttó rendszeres átlag
2024-02-01,rendsz,brutto,Vállalkozás,NA,577000,monthly,TRUE,Bruttó rendszeres átlag
2024-03-01,atlag,brutto,Költségvetés,NA,606000,monthly,TRUE,Bruttó teljes átlag
2024-03-01,atlag,brutto,Nem közfoglalkoztatottak,NA,669500,monthly,FALSE,Bruttó teljes átlag
2024-03-01,atlag,brutto,Nonprofit,NA,638800,monthly,TRUE,Bruttó teljes átlag
2024-03-01,atlag,brutto,Vállalkozás,NA,675300,monthly,TRUE,Bruttó teljes átlag
2024-03-01,rendsz,brutto,Költségvetés,NA,588800,monthly,TRUE,Bruttó rendszeres átlag
